stamp,joint1_to_base,joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,gripper_controller
3.072,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.084,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.096,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.108,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.120,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.132,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.144,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.156,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.168,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.180,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.192,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.204,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.216,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.228,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.240,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.252,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.264,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.276,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.288,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.300,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.312,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.324,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.336,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.348,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.360,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.372,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.384,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.396,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.408,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.420,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.432,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.444,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.456,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.468,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
3.480,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
