stamp,joint1_to_base,joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,gripper_controller
9.372,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.384,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.396,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.408,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.420,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.432,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.444,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.456,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.468,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.480,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.492,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.504,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.516,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.528,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.540,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.552,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.564,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.576,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.588,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.600,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.612,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.624,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.636,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.648,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.660,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.672,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.684,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.696,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.708,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.720,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.732,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.744,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.756,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.768,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.780,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.792,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.804,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.816,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.828,-0.0000,-0.0000,0.0012,-0.0000,-0.0011,0.0000,0.0000
